Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Colorado,N/A,2014,District 5,5,20120101,"157,182","Lamborn, Doug",Incumbent,"105,673","Halter Jr., Irving Leslie",Challenger,N/A,N/A,N/A,N/A,N/A,"51,509",R,.00,59.80,40.20,
House,Colorado,N/A,2012,District 5,5,20120101,"199,639","Lamborn, Doug",Incumbent,N/A,N/A,N/A,Unaffiliated,"53,318","Anderson, Dave",Challenger,"54,280","146,321",R,17.35,100.00,.00,"The other vote was: Pirtle, Jim (Libertarian) 22,778; Luzov, Misha (Green) 18,284; Harvell, Kenneth R. (Constitution) 13,212; Cantrell, George Allen (Write-in) 6"
House,Colorado,N/A,2014,District 6,6,20120101,"143,467","Coffman, Mike",Incumbent,"118,847","Romanoff, Andrew",Challenger,Libertarian,"8,623","Olsen, Norm",Challenger,"5,503","24,620",R,3.12,54.69,45.31,"The other vote was: Swing, Gary (Green) 5,503"
House,Colorado,N/A,2012,District 6,6,20120101,"163,938","Coffman, Mike",Incumbent,"156,937","Miklosi, Joe",Challenger,Unaffiliated,"13,442","Polhemus, Kathy",Challenger,"8,597","7,001",R,3.92,51.09,48.91,"The other vote was: Provost, Patrick E. (Libertarian) 8,597"
House,Colorado,N/A,2014,District 7,7,20120101,"120,918","Ytterberg, Don",Challenger,"148,225","Perlmutter, Ed",Incumbent,N/A,N/A,N/A,N/A,N/A,"27,307",D,.00,44.93,55.07,
House,Colorado,N/A,2012,District 7,7,20120101,"139,066","Coors, Joe",Challenger,"182,460","Perlmutter, Ed",Incumbent,American Constitution,"10,296","Campbell, Douglas",Challenger,"9,148","43,394",D,3.02,43.25,56.75,"The other vote was: Bailey, Buck (Libertarian) 9,148"
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Connecticut,N/A,2014,District 1,1,20120101,"78,609","Corey, Matthew M.",Challenger,"135,825","Larson, John B.",Incumbent,Green,"3,447","Russell, Jeffery",Challenger,N/A,"57,216",D,1.58,36.66,63.34,
House,Connecticut,N/A,2012,District 1,1,20120101,"82,321","Decker, John Henry",Challenger,"206,973","Larson, John B.",Incumbent,Green,"5,477","DeRosa, S. Michael",Challenger,"2,290","124,652",D,1.84,28.46,71.54,"The other vote was: Corey, Matthew M. (Unaffiliated) 2,290"
House,Connecticut,N/A,2014,District 2,2,20120101,"80,837","Hopkins-Cavanagh, Lori",Challenger,"141,948","Courtney, Joe",Incumbent,Libertarian,"2,602","Reale, Daniel J.",Challenger,"2,549","61,111",D,1.14,36.28,63.72,"The other vote was: Clyde, William (Green) 2,549"
House,Connecticut,N/A,2012,District 2,2,20120101,"88,103","Formica, Paul",Challenger,"204,708","Courtney, Joe",Incumbent,Green,"3,638","Bennett, Colin D.",Challenger,"3,511","116,605",D,1.21,30.09,69.91,"The other vote was: Reale, Daniel J. (Libertarian) 3,511"
House,Connecticut,N/A,2014,District 3,3,20120101,"69,454","Brown, James E.",Challenger,"140,485","DeLauro, Rosa L.",Incumbent,N/A,N/A,N/A,N/A,N/A,"71,031",D,.00,33.08,66.92,
House,Connecticut,N/A,2012,District 3,3,20120101,"73,726","Winsley, Wayne",Challenger,"217,573","DeLauro, Rosa L.",Incumbent,Write-in,2,Scattered Write-In,Challenger,N/A,"143,847",D,.00,25.31,74.69,
House,Connecticut,N/A,2014,District 4,4,20120101,"91,922","Debicella, Dan",Challenger,"106,873","Himes, Jim",Incumbent,Write-in,3,"Miller, Stephen A.",Challenger,2,"14,951",D,.00,46.24,53.76,"The other vote was: Pastore, Sophie E. (Write-in) 2"
House,Connecticut,N/A,2012,District 4,4,20120101,"117,503","Obsitnik, Steve",Challenger,"175,929","Himes, Jim",Incumbent,N/A,N/A,N/A,N/A,N/A,"58,426",D,.00,40.04,59.96,
House,Connecticut,N/A,2014,District 5,5,20120101,"97,767","Greenberg, Mark",Challenger,"113,564","Esty, Elizabeth",Incumbent,Independent,"1,970","Pistone, John",Challenger,N/A,"15,797",D,.92,46.26,53.74,
House,Connecticut,N/A,2012,District 5,5,20120101,"138,637","Roraback, Andrew",Challenger,"146,098","Esty, Elizabeth",Challenger,Write-in,22,Scattered Write-In,Challenger,N/A,"7,461",D,.01,48.69,51.31,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Delaware,N/A,2014,At Large,1,N/A,"85,146","Izzo, Rose",Challenger,"137,251","Carney, John C. Jr.",Incumbent,Green,"4,801","August, Bernard",Challenger,"4,419","52,105",D,2.07,38.29,61.71,"The other vote was: Gesty, Scott (Libertarian) 4,419"
House,Delaware,N/A,2012,At Large,1,N/A,"129,757","Kovach, Thomas H.",Challenger,"249,933","Carney, John C. Jr.",Incumbent,Green,"4,273","August, Bernard",Challenger,"4,096","120,176",D,1.10,34.17,65.83,"The other vote was: Gesty, Scott (Libertarian) 4,096"
